thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,thumb_index_dist,index_middle_dist,middle_ring_dist,palm_angle,label
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
103.95044483208996,172.06656800955787,175.20752860688197,176.1404881951682,177.1611600856532,0.19286394370366516,0.04004560426708999,0.03662626768301309,60.104742932979214,B
105.95351659505886,172.84198251422316,175.74902312467938,176.29431973296548,177.21646105233688,0.19953153397590606,0.04060872483639069,0.039659030664843206,58.61547407312924,B
103.57703775933953,172.67533199616577,175.578652192742,175.98578412229233,177.0524254949561,0.19784145042726115,0.04143063523192049,0.03959252184521177,59.37568972597893,B
110.09670970064289,172.408799919573,175.3970690397349,175.85865454656067,177.1805170857527,0.19579430222043714,0.04109132556855744,0.036983453920152794,58.631005666919606,B
105.88530571979969,172.38964788350688,175.28793210817037,176.0245778256458,177.28098498275048,0.19638245243608796,0.040608880026377775,0.03702133459702445,58.90977496579138,B
107.6572245078525,172.46886444380164,175.57201173267376,176.10257683277663,177.4894713564662,0.1963133850930961,0.04069924590615607,0.03912989430188507,59.00907761242348,B
107.40183952340053,172.43099580694263,175.41564894235935,175.96980138232416,177.72607165468546,0.1969981909066404,0.04160326615366419,0.03787827401418925,58.334964071138636,B
106.57767379911992,172.2797593620918,175.29939206027584,175.8566603594419,177.47438593689628,0.19983324584545492,0.04049092153411784,0.03836373780055099,58.45496823143248,B
104.5853757144611,172.466262286744,175.58273987906054,176.08869183082615,177.357762827225,0.19745780801415017,0.04114647031159109,0.03838575162709367,58.86146507455114,B
102.33724900506556,172.90964294873444,176.0115635262398,176.13439425302474,176.98422443881842,0.19948687841421334,0.04137942956297245,0.03826408314756391,58.20668543826103,B
110.40153986651127,172.69066261771195,175.72129806232496,176.3032974086534,177.17163610550702,0.19717540744934284,0.04103353129219469,0.0379181556248561,58.141565262032394,B
105.02051252143804,172.7846282279976,175.92922150783764,176.43584250475263,177.2596288133676,0.19935680959435187,0.04067804113712021,0.038628216654788855,57.10283454969066,B
103.77507239775348,172.72550124240982,175.88885729797667,176.45178930240596,177.50899305793814,0.20188980430153639,0.04252992915975055,0.0393424408581106,58.2700598121186,B
105.9802895194648,172.69719313043842,175.963854118786,176.3066332106532,177.440712028087,0.19920528058632225,0.041619874055082315,0.03927054995903065,59.086147182526304,B
107.71076141176634,172.48183635890575,175.62440034467167,176.26995698121908,177.31685826558277,0.20002083484260155,0.040927107227234485,0.03935657048536716,59.17105811474073,B
105.22103202760036,172.68919846879658,175.9526144650636,176.75346316118183,177.711749875304,0.19988691920885263,0.04139756959627165,0.03854306946760629,58.15737845926188,B
